INSERT INTO Reservations VALUES
 ('',126, 3, 12345, 'Cancelled'),
 ('',917, 7, 12346, 'Paid'),
 ('',1102, 2, 12347, 'Booked'),
 ('',150, 15, 12348, 'Booked'),
 ('',463, 18, 12349, 'Paid'),
 ('',1127, 19, 12350, 'Paid'),
 ('',522, 3, 12351, 'Cancelled'),
 ('',928, 22, 12352, 'Booked'),
 ('',436, 29, 12353, 'Cancelled'),
 ('',1117, 21, 12354, 'Booked'),
 ('',125, 21, 12355, 'Cancelled'),
 ('',1004, 9, 12356, 'Cancelled'),
 ('',528, 14, 12357, 'Cancelled'),
 ('',1010, 9, 12358, 'Cancelled'),
 ('',992, 29, 12359, 'Paid'),
 ('',890, 5, 12360, 'Paid'),
 ('',1109, 21, 12361, 'Cancelled'),
 ('',347, 1, 12362, 'Cancelled'),
 ('',880, 22, 12363, 'Paid'),
 ('',418, 7, 12364, 'Booked'),
 ('',733, 5, 12365, 'Cancelled'),
 ('',254, 25, 12366, 'Cancelled'),
 ('',740, 20, 12367, 'Booked'),
 ('',706, 10, 12368, 'Paid'),
 ('',352, 16, 12369, 'Paid'),
 ('',627, 3, 12370, 'Paid'),
 ('',798, 18, 12371, 'Booked'),
 ('',656, 28, 12372, 'Booked'),
 ('',719, 28, 12373, 'Paid'),
 ('',229, 22, 12374, 'Booked'),
 ('',736, 4, 12375, 'Paid'),
 ('',978, 24, 12376, 'Cancelled'),
 ('',216, 23, 12377, 'Paid'),
 ('',1070, 24, 12378, 'Cancelled'),
 ('',127, 9, 12379, 'Cancelled'),
 ('',517, 15, 12380, 'Cancelled'),
 ('',126, 5, 12381, 'Paid'),
 ('',764, 3, 12382, 'Paid'),
 ('',1022, 17, 12383, 'Cancelled'),
 ('',563, 18, 12384, 'Cancelled'),
 ('',721, 9, 12385, 'Booked'),
 ('',60, 8, 12386, 'Cancelled'),
 ('',714, 14, 12387, 'Cancelled'),
 ('',114, 5, 12388, 'Cancelled'),
 ('',115, 15, 12389, 'Paid'),
 ('',770, 12, 12390, 'Paid'),
 ('',174, 19, 12391, 'Booked'),
 ('',450, 30, 12392, 'Paid'),
 ('',199, 10, 12393, 'Paid'),
 ('',70, 30, 12394, 'Cancelled'),
 ('',240, 8, 12395, 'Booked'),
 ('',97, 15, 12396, 'Paid'),
 ('',976, 26, 12397, 'Cancelled'),
 ('',276, 24, 12398, 'Paid'),
 ('',501, 5, 12399, 'Paid'),
 ('',467, 19, 12400, 'Booked'),
 ('',754, 24, 12401, 'Cancelled'),
 ('',378, 9, 12402, 'Booked'),
 ('',595, 4, 12403, 'Cancelled'),
 ('',348, 9, 12404, 'Cancelled'),
 ('',651, 3, 12405, 'Booked'),
 ('',620, 17, 12406, 'Paid'),
 ('',966, 21, 12407, 'Booked'),
 ('',786, 13, 12408, 'Booked'),
 ('',67, 1, 12409, 'Cancelled'),
 ('',66, 21, 12410, 'Cancelled'),
 ('',956, 9, 12411, 'Booked'),
 ('',774, 20, 12412, 'Booked'),
 ('',365, 27, 12413, 'Paid'),
 ('',186, 3, 12414, 'Paid'),
 ('',774, 14, 12415, 'Paid'),
 ('',953, 28, 12416, 'Cancelled'),
 ('',558, 21, 12417, 'Paid'),
 ('',426, 12, 12418, 'Cancelled'),
 ('',50, 8, 12419, 'Cancelled');
